Text,label
How is your Friday so far ,data
What do you want me to address you?,name
How is your day going so far ,date
How is sunday going,date
I have to sign off,goodbye
what do you want me to address you?,name
How is your Friday so far ,data
What do you want me to address you?,name
How is your day going so far ,date
How is sunday going,date
I have to sign off,goodbye
what do you want me to address you?,name
How is your Friday so far ,data
What do you want me to address you?,name
How is your day going so far ,date
How is sunday going,date
I have to sign off,goodbye
I am 25 years old,age 
